,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39,C81,C110,C140,C17,C57,C41,C83,C112,C130,C142,C175
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,18.6,,,,,12.0,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
126,4.65,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
127,9.3,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
128,18.6,,,,,20.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
129,23.26,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
130,13.95,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,10.0,,,Yes,,,,Pre-paid,,No,,,,,
131,46.51,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,9.3,,,,,11.0,11.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,9.3,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
136,2.33,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
137,2.33,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
138,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
139,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
140,9.3,,,,,14.0,14.0,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2.33,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Other,,No,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,23.26,,,,,23.0,Don't know,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
145,18.6,,,,,,10.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
146,32.56,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
147,23.26,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
148,23.26,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
149,83.72,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
150,37.21,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
151,,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
152,46.51,,,,,20.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,5.0,2.0,,,No,,,,Pre-paid,,No,,,,,
153,27.91,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
154,46.51,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,No,,,,Pre-paid,,No,,,,,
155,46.51,,,,,,14.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
156,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
157,139.53,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4.65,,,,,,12.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
