,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39,C81,C110,C140,C17,C57,C41,C83,C112,C130,C142,C175
1658,46.51,,,,,10.0,24.0,,,,,,,,,,1.0,4.0,,,,,,,,,6.0,2.0,,,Don?t know,,,,Monthly bill,,No,,,,,
1659,11.63,,,,,14.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,4.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1660,27.91,,,,,15.0,22.0,,,,,,,,,,3.0,4.0,,,,,,,,,3.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1661,32.56,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1662,13.95,,,,,17.0,23.0,,,,,,,,,,3.0,3.0,,,,,,,,,3.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1663,,,,,,12.0,24.0,,,,,,,,,,1.0,4.0,,,,,,,,,4.0,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
1664,13.95,,,,,10.0,24.0,,,,,,,,,,4.0,4.0,,,,,,,,,5.0,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
1665,23.26,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1666,13.95,,,,,15.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1667,18.6,,,,,12.0,24.0,,,,,,,,,,1.0,4.0,,,,,,,,,4.0,1.0,,,Yes,,,,Monthly bill,,No,,,,,
1668,93.02,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1669,23.26,,,,,21.0,Don't know,,,,,,,,,,2.0,Don't know,,,,,,,,,3.0,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1670,46.51,,,,,4.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,10.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1671,23.26,,,,,21.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,5.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1672,23.26,,,,,10.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,4.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1673,13.95,,,,,15.0,22.0,,,,,,,,,,2.0,4.0,,,,,,,,,Don't know,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1674,,,,,,Don't know,22.0,,,,,,,,,,Don't know,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
1675,,,,,,24.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1676,23.26,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1677,4.65,,,,,16.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,4.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1678,9.3,,,,,15.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,4.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1679,18.6,,,,,22.0,22.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1680,23.26,,,,,12.0,23.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1681,23.26,,,,,22.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,5.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1682,46.51,,,,,15.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1683,9.3,,,,,15.0,15.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1684,18.6,,,,,20.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,4.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,4.65,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1687,18.6,,,,,,23.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1688,23.26,,,,,2.0,24.0,,,,,,,,,,1.0,4.0,,,,,,,,,2.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1689,18.6,,,,,10.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1690,23.26,,,,,12.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,4.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,6.98,,,,,17.0,22.0,,,,,,,,,,2.0,3.0,,,,,,,,,6.0,3.0,,,No,,,,Pre-paid,,No,,,,,
1697,6.98,,,,,21.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,Don?t know,,,,Pre-paid,,,,,,,
1698,,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,No bill for electricity,,No,,,,,
1699,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1700,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1701,4.65,,,,,,22.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,No,,,,Pre-paid,,No,,,,,
1702,13.95,,,,,22.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,,,,,,,,,,,,,,,,6.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,No
1709,9.3,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1710,,9.302,,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,No,,,,No bill for electricity,,No,,,,
1711,,,,,,,,,,,,,,,,8.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,No
1712,4.65,,,,,18.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,3.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1713,6.98,,,,,20.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1714,23.26,,,,,10.0,24.0,,,,,,,,,,1.0,4.0,,,,,,,,,5.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1715,23.26,,,,,12.0,12.0,,,,,,,,,,2.0,2.0,,,,,,,,,3.0,3.0,,,No,,,,Pre-paid,,No,,,,,
1716,9.3,,,,,10.0,10.0,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1717,18.6,,,,,,21.0,,,,,,,,,,,1.0,,,,,,,,,,10.0,,,Yes,,,,Pre-paid,,No,,,,,
1718,9.3,,,,,4.0,8.0,,,,,,,,,,1.0,2.0,,,,,,,,,5.0,5.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1719,9.3,,,,,20.0,20.0,,,,,,,,,,1.0,2.0,,,,,,,,,2.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1720,9.3,,,,,10.0,12.0,,,,,,,,,,1.0,1.0,,,,,,,,,4.0,3.0,,,No,,,,Pre-paid,,No,,,,,
1721,9.3,,,,,,20.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1722,16.28,,,,,21.0,24.0,,,,,,,,,,1.0,3.0,,,,,,,,,4.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1723,18.6,,,,,20.0,23.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1724,,,,,,10.0,21.0,,,,,,,,,,2.0,3.0,,,,,,,,,4.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,11.63,,,,,,19.0,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,Yes,,,,Pre-paid,,No,,,,,
1727,,,,,,22.0,23.0,,,,,,,,,,1.0,3.0,,,,,,,,,2.0,2.0,,,No,,,,No bill for electricity,,No,,,,,
1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,18.6,,,,,5.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,5.0,5.0,,,No,,,,Pre-paid,,No,,,,,
1733,13.95,,,,,,23.0,,,,,,,,,,,Don't know,,,,,,,,,,2.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1734,13.95,,,,,19.0,23.0,,,,,,,,,,3.0,3.0,,,,,,,,,5.0,3.0,,,Yes,,,,Pre-paid,,No,,,,,
1735,18.6,18.605,,,,,22.0,20.0,23.0,,,,,,,,,3.0,2.0,3.0,,,,,,,,3.0,3.0,3.0,Yes,No,,,Pre-paid,Other,No,No,,,,
1736,9.3,,,,,20.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,3.0,3.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1737,6.98,,,,,2.0,18.0,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1738,9.3,,,,,15.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,6.98,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,4.65,,,,,21.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1745,23.26,,,,,18.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1746,4.65,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1747,2.33,,,,,14.0,21.0,,,,,,,,,,2.0,3.0,,,,,,,,,5.0,3.0,,,No,,,,Pre-paid,,No,,,,,
1748,13.95,,,,,15.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,2.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1749,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1750,9.3,,,,,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1751,,,,,,17.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,1.0,,,No,,,,No bill for electricity,,No,,,,,
1752,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,2.79,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,9.3,,,,,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1758,4.65,,,,,22.0,22.0,,,,,,,,,,4.0,4.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1759,13.95,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1760,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,No
1761,9.3,,,,,15.0,22.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,4.65,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1764,6.98,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Fixed monthly fee,,No,,,,,
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,23.26,,,,,4.0,21.0,,,,,,,,,,3.0,3.0,,,,,,,,,3.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,9.3,,,,,15.0,20.0,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,32.56,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1771,18.6,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1772,162.79,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1773,6.98,,,,,,21.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Fixed monthly fee,,No,,,,,
1774,18.6,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,4.65,,,,,20.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,11.16,,,,,10.0,20.0,,,,,,,,,,1.0,3.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1781,,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,No,,,,No bill for electricity,,No,,,,,
1782,9.3,,,,,20.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,2.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1783,6.98,,,,,10.0,21.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,1.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1784,4.65,,,,,10.0,18.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,No
1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,6.98,,,,,Don't know,20.0,,,,,,,,,,Don't know,Don't know,,,,,,,,,3.0,3.0,,,Don?t know,,,,Pre-paid,,No,,,,,
1793,4.65,,,,,,20.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1794,,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
1795,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,No,,,,Pre-paid,,No,,,,,
1796,6.98,,,,,6.0,12.0,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1797,6.98,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
1798,4.65,,,,,20.0,Don't know,,,,,,,,,,2.0,4.0,,,,,,,,,Don't know,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,4.65,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
1806,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1807,6.98,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,9.3,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,Yes,,,,Fixed monthly fee,,No,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,16.0,Don't know,,,,,,,,,,2.0,Don't know,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
1817,4.65,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,Yes,,,,Pre-paid,,No,,,,,
1818,4.65,,,,,3.0,12.0,,,,,,,,,,3.0,3.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1819,6.98,,,,,,Don't know,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,No,,,,Fixed monthly fee,,No,,,,,
1820,4.65,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,Yes,,,,Pre-paid,,No,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,4.65,,,,,,Don't know,,,,,,,,,,,Don't know,,,,,,,,,,2.0,,,No,,,,Fixed monthly fee,,No,,,,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,2.33,,,,,Don't know,23.0,,,,,,,,,,Don't know,4.0,,,,,,,,,Don't know,1.0,,,No,,,,Pre-paid,,No,,,,,
1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,4.65,,,,,2.0,24.0,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,2.0,,,No,,,,Pre-paid,,No,,,,,
1829,8.37,,,,,Don't know,Don't know,,,,,,,,,,Don't know,Don't know,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1830,4.65,,,,,12.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
1831,4.65,,,,,Don't know,Don't know,,,,,,,,,,1.0,4.0,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1832,13.95,,,,,5.0,12.0,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1833,2.33,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,Yes,,,,Fixed monthly fee,,No,,,,,
1834,6.98,,,,,18.0,24.0,,,,,,,,,,3.0,4.0,,,,,,,,,4.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,9.3,,,,,2.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,3.0,,,No,,,,Fixed monthly fee,,No,,,,,
1841,6.98,,,,,Don't know,24.0,,,,,,,,,,Don't know,4.0,,,,,,,,,1.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
1842,4.65,,,,,Don't know,Don't know,,,,,,,,,,2.0,Don't know,,,,,,,,,Don't know,1.0,,,No,,,,Pre-paid,,No,,,,,
1843,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1844,13.95,,,,,18.0,23.0,,,,,,,,,,2.0,3.0,,,,,,,,,6.0,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1845,4.65,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1846,4.65,,,,,,19.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1847,6.98,,,,,,6.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,4.65,,,,,5.0,24.0,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,1.0,,,No,,,,Pre-paid,,No,,,,,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,2.33,,,,,,Don't know,,,,,,,,,,,3.0,,,,,,,,,,Don't know,,,Don?t know,,,,Pre-paid,,No,,,,,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,2.33,,,,,,24.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,No,,,,Pre-paid,,No,,,,,
1854,2.79,,,,,18.0,22.0,,,,,,,,,,2.0,3.0,,,,,,,,,3.0,1.0,,,Yes,,,,Pre-paid,,No,,,,,
1855,4.65,,,,,,24.0,,,,,,,,,,,Don't know,,,,,,,,,,Don't know,,,No,,,,Fixed monthly fee,,No,,,,,
1856,2.33,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1857,2.33,,,,,6.0,24.0,,,,,,,,,,1.0,2.0,,,,,,,,,2.0,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,18.6,,,,,2.0,Don't know,,,,,,,,,,1.0,Don't know,,,,,,,,,Don't know,Don't know,,,No,,,,Pre-paid,,No,,,,,
1866,5.58,,,,,,23.0,,,,,,,,,,,4.0,,,,,,,,,,Don't know,,,No,,,,Pre-paid,,No,,,,,
1867,4.65,,,,,,21.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1868,4.65,,,,,,22.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,Yes,,,,Pre-paid,,No,,,,,
1869,2.33,,,,,20.0,23.0,,,,,,,,,,2.0,4.0,,,,,,,,,3.0,Don't know,,,No,,,,Pre-paid,,No,,,,,
1870,4.65,,,,,Don't know,Don't know,,,,,,,,,,Don't know,4.0,,,,,,,,,Don't know,Don't know,,,Yes,,,,Pre-paid,,No,,,,,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
