,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
277,9.3,12.0,4.0,Missing_data,No,1,No
278,0.0,,Missing_data,Missing_data,,0,
279,32.56,23.0,3.0,Missing_data,No,1,No
280,93.02,24.0,4.0,Missing_data,No,1,No
281,0.0,18.0,2.0,1.0,No,2,No
282,18.6,13.0,4.0,2.0,No,1,No
283,0.0,22.0,4.0,Missing_data,Yes,1,No
284,27.91,24.0,4.0,Missing_data,No,1,No
285,93.02,,Missing_data,Missing_data,Yes,1,No
286,69.77,22.0,3.0,Missing_data,Yes,1,No
287,4.65,6.0,3.0,Missing_data,No,1,No
288,0.0,,Missing_data,Missing_data,,-1,
289,0.0,,Missing_data,Missing_data,,-1,
290,0.0,,Missing_data,Missing_data,,-1,
291,0.0,,Missing_data,Missing_data,,-1,
292,0.0,,Missing_data,Missing_data,,-1,
293,23.26,23.0,3.0,Missing_data,No,1,No
294,162.79,23.0,3.0,Missing_data,Yes,1,No
295,18.6,7.0,4.0,Missing_data,No,1,No
296,18.6,23.0,4.0,Missing_data,No,1,No
297,46.51,20.0,3.0,Missing_data,No,1,No
298,23.26,24.0,4.0,Missing_data,No,1,No
299,74.42,22.0,3.0,1.0,Yes,1,No
300,0.0,,Missing_data,Missing_data,,-1,
301,0.0,,Missing_data,Missing_data,,-1,
302,0.0,,Missing_data,Missing_data,,-1,
303,0.0,,Missing_data,Missing_data,,-1,
304,0.0,,Missing_data,Missing_data,,-1,
305,11.63,12.0,2.0,Missing_data,Yes,1,No
306,0.0,,Missing_data,Missing_data,,-1,
307,0.0,,Missing_data,Missing_data,,0,
308,18.6,20.0,4.0,Missing_data,Yes,1,No
309,0.0,,Missing_data,Missing_data,,-1,
310,0.0,,Missing_data,Missing_data,,0,
311,6.98,20.0,2.0,1.0,Yes,1,No
312,0.0,,Missing_data,Missing_data,,-1,
313,0.0,,Missing_data,Missing_data,,-1,
314,0.0,,Missing_data,Missing_data,,-1,
315,0.0,,Missing_data,Missing_data,,-1,
316,0.0,,Missing_data,Missing_data,,-1,
317,0.0,,Missing_data,Missing_data,,-1,
318,18.6,17.0,3.0,Missing_data,Yes,1,No
319,9.3,20.0,3.0,Missing_data,Yes,1,No
320,13.95,22.0,3.0,Missing_data,Yes,1,No
321,9.3,23.0,3.0,Missing_data,Yes,1,No
322,6.98,20.0,3.0,Missing_data,No,1,No
323,0.0,,Missing_data,Missing_data,,-1,
324,93.02,24.0,4.0,Missing_data,No,1,No
325,9.3,24.0,4.0,Missing_data,No,1,No
326,69.77,,Missing_data,Missing_data,Yes,1,No
327,13.95,22.0,4.0,2.0,No,1,No
328,37.21,22.0,3.0,Missing_data,No,1,No
329,46.51,24.0,4.0,Missing_data,No,1,No
330,0.0,12.0,1.0,2.0,No,3,No
331,18.6,6.0,3.0,Missing_data,No,1,No
332,69.77,20.0,3.0,2.0,No,1,No
333,0.0,22.0,3.0,Missing_data,No,1,No
334,18.6,22.0,3.0,2.0,No,1,No
335,23.26,22.0,3.0,Missing_data,No,1,No
336,9.3,22.0,3.0,1.0,No,1,No
337,55.81,20.0,3.0,Missing_data,No,1,No
338,32.56,23.0,4.0,Missing_data,No,1,No
339,11.63,24.0,4.0,Missing_data,No,1,No
340,93.02,23.0,4.0,1.0,No,1,No
